GeoAreaName;GeoAreaCode;SeriesDescription;SeriesCode;TimePeriod;Value;Source;Location;Sex;TypeofProduct;GroundsOfDiscrimination;Units
Mongolia;MNG;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2010;94.70282278;World Bank;;;;;PERCENT
Malawi;MWI;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2010;19.80089044;World Bank;;;;;PERCENT
Nigeria;NGA;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2010;1.424361304;World Bank;;;;;PERCENT
Nepal;NPL;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2010;40.13761204;World Bank;;;;;PERCENT
Panama;PAN;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2010;51.93946457;World Bank;;;;;PERCENT
Peru;PER;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2010;60.76289157;World Bank;;;;;PERCENT
Poland;POL;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2010;39.55377039;World Bank;;;;;PERCENT
Paraguay;PRY;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2010;49.72558123;World Bank;;;;;PERCENT
Rwanda;RWA;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2010;22.5369328;World Bank;;;;;PERCENT
El Salvador;SLV;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2010;57.52526904;World Bank;;;;;PERCENT
Serbia;SRB;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2010;11.27446958;World Bank;;;;;PERCENT
Tunisia;TUN;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2010;14.42593193;World Bank;;;;;PERCENT
Turkiye;TUR;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2010;18.44495138;World Bank;;;;;PERCENT
Tanzania;TZA;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2010;15.71451037;World Bank;;;;;PERCENT
Uruguay;URY;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2010;58.7415339;World Bank;;;;;PERCENT
Viet Nam;VNM;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2010;38.54104788;World Bank;;;;;PERCENT
South Africa;ZAF;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2010;60.80927575;World Bank;;;;;PERCENT
Zambia;ZMB;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2010;0.729851985;World Bank;;;;;PERCENT
Afghanistan;AFG;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2011;8.820582327;World Bank;;;;;PERCENT
Argentina;ARG;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2011;17.06436327;World Bank;;;;;PERCENT
Armenia;ARM;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2011;20.2294861;World Bank;;;;;PERCENT
Bolivia;BOL;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2011;74.7325147;World Bank;;;;;PERCENT
Brazil;BRA;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2011;18.65214363;World Bank;;;;;PERCENT
Chile;CHL;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2011;77.42602283;World Bank;;;;;PERCENT
Colombia;COL;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2011;43.9866328;World Bank;;;;;PERCENT
Costa Rica;CRI;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2011;48.77951653;World Bank;;;;;PERCENT
Dominican Republic;DOM;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2011;26.58064419;World Bank;;;;;PERCENT
Ecuador;ECU;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2011;37.47342231;World Bank;;;;;PERCENT
Georgia;GEO;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2011;64.63777987;World Bank;;;;;PERCENT
Guatemala;GTM;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2011;61.09494648;World Bank;;;;;PERCENT
Honduras;HND;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2011;49.15931966;World Bank;;;;;PERCENT
Croatia;HRV;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2011;20.54094124;World Bank;;;;;PERCENT
Indonesia;IDN;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2011;51.28259689;World Bank;;;;;PERCENT
India;IND;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2011;74.89564576;World Bank;;;;;PERCENT
Kyrgyz Republic;KGZ;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2011;8.474515596;World Bank;;;;;PERCENT
Mongolia;MNG;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2011;99.68378796;World Bank;;;;;PERCENT
Niger;NER;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2011;2.736222024;World Bank;;;;;PERCENT
Panama;PAN;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2011;48.39639558;World Bank;;;;;PERCENT
Peru;PER;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2011;58.362387;World Bank;;;;;PERCENT
Poland;POL;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2011;39.33474209;World Bank;;;;;PERCENT
Paraguay;PRY;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2011;47.75478334;World Bank;;;;;PERCENT
Romania;ROU;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2011;62.20367392;World Bank;;;;;PERCENT
Senegal;SEN;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2011;8.23709756;World Bank;;;;;PERCENT
Sierra Leone;SLE;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2011;30.1557655;World Bank;;;;;PERCENT
El Salvador;SLV;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2011;53.97949301;World Bank;;;;;PERCENT
Chad;TCD;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2011;0.572243024;World Bank;;;;;PERCENT
Thailand;THA;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2011;62.58309412;World Bank;;;;;PERCENT
Tajikistan;TJK;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2011;9.749931532;World Bank;;;;;PERCENT
Timor-Leste;TLS;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2011;35.20902941;World Bank;;;;;PERCENT
Turkiye;TUR;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2011;18.39215386;World Bank;;;;;PERCENT
Ukraine;UKR;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2011;48.98668245;World Bank;;;;;PERCENT
Uruguay;URY;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2011;57.4832142;World Bank;;;;;PERCENT
Kosovo;XKX;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2011;12.47822305;World Bank;;;;;PERCENT
Zimbabwe;ZWE;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2011;27.72977257;World Bank;;;;;PERCENT
Albania;ALB;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2012;19.08167238;World Bank;;;;;PERCENT
Argentina;ARG;Coverage of social safety net programs (% of population);per_sa_allsa.cov_pop_tot;2012;16.26982466;World Bank;;;;;PERCENT
